Termo_Corrigido,NLD,Rótulo_Original
anhydrite,"Anhydrite is a monomineralic evaporite rock that is composed almost exclusively of the mineral anhydrite (CaSO4). It forms either by direct chemical precipitation from hypersaline water or through the diagenetic dewatering of precursor gypsum deposits during burial. This rock is characterized by a crystalline texture and very low permeability, making it a critical sealing lithology in many sedimentary basins.",ROCHA
Espírito Santo,The Espírito Santo Basin is a marginal rift basin on the southeastern Brazilian continental margin that was formed during the Early Cretaceous opening of the South Atlantic Ocean. It contains a complete rift-drift succession hosting significant hydrocarbon accumulations in both pre-salt and post-salt sections. Key reservoirs include pre-salt lacustrine carbonates of the Lagoa Feia Group and post-salt deep-water turbidite sandstones.,BACIA
basement,A basement is a complex of predominantly igneous and metamorphic rocks that constitutes the crustal foundation upon which a sedimentary basin is deposited. This unit is characteristically older than the overlying sedimentary cover and is separated from it by a major unconformity.,UNIDADE_LITO
Jurassic,"The Jurassic is a chronostratigraphic system that comprises all rocks formed during the Jurassic Period, from approximately 201.3 to 145 million years ago. It is the second system of the Mesozoic Erathem, positioned stratigraphically above the Triassic System and below the Cretaceous System. The Jurassic is subdivided into the Lower, Middle, and Upper Jurassic Series.",UNIDADE_CRONO
pelotas basin,"The Pelotas Basin is a sedimentary basin that constitutes the southernmost segment of the Brazilian passive margin, extending from the Florianópolis High southwards into Uruguayan waters. Formed during the Early Cretaceous rifting associated with the opening of the South Atlantic Ocean, it contains a thick prograding wedge of post-rift sediments. The basin is considered a frontier province for hydrocarbon exploration with proven source rocks and potential reservoir systems.",BACIA
silica,"Silica is a group of tectosilicate minerals that are natural forms of silicon dioxide (SiO₂), constituting one of the most abundant components of the Earth's crust. This group includes various crystalline polymorphs, with quartz being the most common, as well as amorphous forms such as opal. It occurs as a primary rock-forming mineral, detrital grains, chemical precipitates, or as a common diagenetic cement and replacement product in sedimentary rocks.",MINERAIS
wedges,"A wedge is a body of rock, typically a stratigraphic unit, that is characterized by a systematic and progressive thinning in a particular direction, terminating in a pinch-out.",ESTRUTURA_FISICA
folds,"Folds are a class of geological structures that result from the ductile bending or curving of originally planar rock layers, such as sedimentary strata, in response to compressive stress. These wavelike geometries are characterized by elements including limbs, a hinge, and an axial plane. Common types, such as anticlines and synclines, often form crucial structural traps for hydrocarbon accumulations.",ESTRUTURA_FISICA
valanginian,"The Valanginian is an age of the Early Cretaceous Epoch that follows the Berriasian Age and precedes the Hauterivian Age. It corresponds to the body of rock known as the Valanginian Stage, spanning the time interval from approximately 139.8 to 132.9 million years ago.",UNIDADE_CRONO
Miocene,"The Miocene is an epoch of the Neogene Period that extends from the end of the Oligocene Epoch, approximately 23.03 million years ago, to the beginning of the Pliocene Epoch, approximately 5.333 million years ago.",UNIDADE_CRONO
Cambrian,"The Cambrian is a geologic period and the first subdivision of the Paleozoic Era, spanning from approximately 538.8 to 485.4 million years ago. It is preceded by the Ediacaran Period and followed by the Ordovician Period. The Cambrian is distinguished by the Cambrian Explosion, a rapid evolutionary radiation where most major animal phyla first appear in the fossil record.",UNIDADE_CRONO
Aptian,The Aptian is an age of the Early Cretaceous Epoch and its corresponding chronostratigraphic stage that is positioned between the Barremian and Albian ages. It spans the time interval from approximately 125.0 to 113.0 million years ago. This interval is particularly significant in the South Atlantic as it encompasses the deposition of the main sag-phase lacustrine carbonate reservoirs of the Brazilian Pre-Salt.,UNIDADE_CRONO
Hauterivian,"The Hauterivian is a chronostratigraphic stage of the Lower Cretaceous Series, positioned between the underlying Valanginian Stage and the overlying Barremian Stage. It corresponds to the geologic age spanning from approximately 132.6 to 125.77 million years ago. This interval is critical in the evolution of the South Atlantic marginal basins, encompassing the deposition of important syn-rift sequences of the Pre-Salt section.",UNIDADE_CRONO
colluvial,"A colluvial paleoenvironment is a terrestrial depositional environment that is situated at the base of hillslopes or cliffs. It is characterized by the accumulation of poorly sorted, heterogeneous sediments, known as colluvium, which are transported downslope primarily by non-channelized, gravity-driven processes such as sheet wash, rainsplash, and soil creep.",PALEOAMBIENTE
rocks,"A rock is a naturally occurring, consolidated solid material that is composed of an aggregate of one or more minerals, mineraloids, or other lithic fragments.",ROCHA
Jiquiá Buracica,Jiquiá Buracica is a local chronostratigraphic stage of the Brazilian marginal basins that is positioned in the upper part of the Rio da Serra Superstage. This unit comprises all rock strata deposited during the Jiquiá Buracica Age. It is correlated with the late Valanginian to early Hauterivian interval of the international geologic time scale.,UNIDADE_CRONO
Eoaptian,The Eoaptian is a geochronologic subage of the Early Cretaceous Epoch that constitutes the first part of the Aptian Age. It is preceded by the Barremian Age and is followed by the Neoaptian Subage. The corresponding chronostratigraphic unit is the Lower Aptian Substage.,UNIDADE_CRONO
galena,"Galena is a sulfide mineral that is chemically composed of lead sulfide (PbS) and constitutes the most important ore of lead. It is characterized by its isometric crystal system, which results in a distinct cubic cleavage, high specific gravity, and a bright metallic luster on fresh surfaces.",MINERAIS
grain,"A grain is a fundamental textural element of a rock that is a discrete particle composed of a mineral crystal, a rock fragment, or material of biological origin. It is a primary building block of the rock's fabric, distinguishable from the finer-grained matrix or the chemically precipitated cement that may surround it.",ROCHA
Holocene,"The Holocene is a geological epoch of the Quaternary Period that began approximately 11,700 years before present, following the last major glacial period. As the most recent interval of geologic time, it is characterized by the global spread and significant impact of the human species. Its corresponding chronostratigraphic unit is the Holocene Series.",UNIDADE_CRONO
Campo de Tupi,"The Tupi Field is a supergiant offshore oil and gas field that is located in the Santos Basin, Brazil, and represents the first major discovery within the Pre-Salt petroleum province. Its reservoirs are primarily composed of microbial and coquinoid carbonates of the Barra Velha and Itapema formations. The field was officially renamed Campo de Lula in 2020.",CAMPO
depósitos carbonáticos,"Depósitos carbonáticos são um tipo de rocha sedimentar que é composta por mais de 50% de minerais carbonáticos, como calcita e dolomita. Estas rochas são formadas pela acumulação e litificação de materiais biogênicos, como conchas e esqueletos, ou pela precipitação química ou microbiana a partir de um corpo de água.",ROCHA
shale,"A shale is a fine-grained clastic sedimentary rock, composed predominantly of clay- and silt-sized particles, that is distinguished from other mudrocks by its fissility. This property is defined as the tendency to split readily into thin, parallel layers or laminae, typically aligned with the bedding plane. The rock is rich in clay minerals and organic matter, often serving as a source and reservoir for hydrocarbons.",ROCHA
anhydrite,"Anhydrite is an evaporite rock that is composed predominantly of the mineral anhydrite, the anhydrous form of calcium sulfate (CaSO4). It forms by direct chemical precipitation from hypersaline brines or through the diagenetic dehydration of the mineral gypsum (CaSO4·2H2O) during burial. This rock is characterized by a crystalline texture and is commonly associated with halite, gypsum, and carbonates in evaporitic sequences.",ROCHA
cyanobacteria,"Cyanobacteria are a phylum of photosynthetic prokaryotes that are primary builders of organo-sedimentary structures, such as stromatolites and thrombolites, which constitute one of the oldest and most extensive fossil records on Earth. These microorganisms are fundamental to the formation of microbial carbonate reservoirs.",FOSSEIS
Neocomian,"The Neocomian is an informal chronostratigraphic subseries that encompasses the lowermost part of the Lower Cretaceous Series. It corresponds to the body of rock strata deposited during the Berriasian, Valanginian, Hauterivian, and Barremian Ages. This unit is particularly significant in the South Atlantic, as it comprises the syn-rift successions that host the main carbonate reservoirs of the Brazilian Pre-Salt.",UNIDADE_CRONO
Phanerozoic,"The Phanerozoic is the current eon of the geologic time scale that encompasses the time of abundant animal and plant life, extending from the beginning of the Cambrian Period approximately 541 million years ago to the present. It is subdivided into three eras: the Paleozoic, Mesozoic, and Cenozoic.",UNIDADE_CRONO
chalcedony,"Chalcedony is a cryptocrystalline form of silica that is composed of very fine intergrowths of the minerals quartz and moganite. It commonly occurs as a diagenetic product in sedimentary rocks, where it can precipitate as cement in pores or replace pre-existing minerals. Chalcedony is the primary constituent of chert and flint.",MINERAIS
fluvial,"A fluvial paleoenvironment is a terrestrial depositional environment that is dominated by the erosional and depositional action of rivers and streams. It encompasses both the channel systems, where sediment is primarily transported and deposited, and the adjacent floodplains, which accumulate finer-grained sediment during overbank flood events. The resulting sedimentary deposits are collectively known as alluvium.",PALEOAMBIENTE
buracica,Buracica is a local chronostratigraphic unit of the Recôncavo Basin that comprises the rock successions deposited during the Late Jurassic (Kimmeridgian-Tithonian). This unit is stratigraphically positioned within the Santo Amaro Supersequence and represents a key interval of the pre-rift phase of the basin. Its geochronological equivalent is the Buracican Age.,UNIDADE_CRONO
deltas,"A delta is a progradational clastic depositional system that develops when a river supplies sediment to a standing body of water more rapidly than it can be removed by basinal processes. This deposition results in a characteristic tripartite facies succession composed of delta plain, delta front, and prodelta sub-environments. The resulting geomorphology and stratigraphic architecture are controlled by the relative influence of fluvial discharge, wave energy, and tidal currents.",PALEOAMBIENTE
muscovite,"Muscovite is a common rock-forming phyllosilicate mineral of the mica group that is chemically a hydrated potassium aluminum silicate, distinguished by its perfect basal cleavage which allows it to be split into thin, flexible, and elastic laminae. It is a characteristic mineral of felsic igneous rocks, such as granites and pegmatites, and of metamorphic rocks like schists and gneisses.",MINERAIS
Neobarremian,"The Neobarremian is a subage of the Early Cretaceous Epoch that constitutes the final part of the Barremian Age, immediately preceding the Aptian Age.",UNIDADE_CRONO
salt,"Salt is a body of evaporitic rock that is composed predominantly of halite, formed by chemical precipitation within a restricted basin. Due to its high ductility and low permeability, this lithology commonly deforms to create complex structures and acts as a highly effective regional seal for hydrocarbon accumulations.",BACIA
Barra Velha Formation,"The Barra Velha Formation is an Aptian-age lithostratigraphic unit that constitutes the main carbonate reservoir system of the Brazilian Pre-Salt province in the Santos Basin. It is characterized by a complex succession of microbial and abiotic carbonates, including spherulites and shrub-like facies, deposited within a large-scale, saline alkaline lacustrine system. These unique facies exhibit high primary porosity, forming world-class hydrocarbon reservoirs.",UNIDADE_LITO
shrubby,"A shrubby structure is a microbial carbonate structure that is characterized by a branching, arborescent morphology resembling a small bush. It is typically composed of calcite spherulites and is a key component of the lacustrine microbialite reservoirs of the Brazilian Pre-Salt. This physical structure is interpreted as being formed by microbially-mediated precipitation in a subaqueous environment.",ESTRUTURA_FISICA
deltaic,"A deltaic paleoenvironment is a transitional depositional environment that forms where a river enters a standing body of water, such as a lake, sea, or ocean. This environment is characterized by the rapid deposition of river-borne sediment as the flow velocity diminishes, causing the shoreline to prograde into the basin. The resulting sedimentary succession is typically dominated by clastic deposits that form a characteristic coarsening-upward vertical profile.",PALEOAMBIENTE
Sergipe Alagoas Basin,"The Sergipe Alagoas Basin is a sedimentary basin located on the northeastern passive margin of Brazil that was formed during the Early Cretaceous rifting of the South Atlantic Ocean. The basin is characterized by a complete rift-drift tectonic-stratigraphic succession, including a significant Aptian evaporitic section that separates the pre-salt and post-salt sequences. It constitutes a prolific petroleum province with proven hydrocarbon systems in pre-salt lacustrine carbonates and post-salt siliciclastic deepwater reservoirs.",BACIA
mud,"Mud is a fine-grained sedimentary rock that is composed predominantly of silt- and clay-sized particles. This general term encompasses specific rock types such as mudstone, which is massive, and shale, which is laminated and fissile. The term applies to rocks of both siliciclastic and carbonate composition.",ROCHA
algae,"An alga is a type of fossil that represents the preserved remains, impressions, or chemical traces of a diverse group of ancient, typically aquatic, photosynthetic organisms. These fossils are significant rock-formers, particularly in carbonate systems, where their skeletal components or biologically-influenced structures contribute substantially to sediment accumulation. Their morphology and assemblage are widely used as indicators of paleoenvironmental conditions such as water depth, light penetration, and energy levels.",FOSSEIS
marls,Marls are fine-grained unconsolidated sediments that are composed of a mixture of clay minerals and calcium carbonate. The proportion of carbonate typically ranges from 35% to 65% of the sediment's composition. These sediments represent the unconsolidated precursor to the sedimentary rock marlstone.,NAO_CONSOLID
Tethyan,"The Tethyan is a provincial chronostratigraphic superstage of the Mesozoic Era that is defined by the characteristic faunal assemblages and geological events of the former Tethys Ocean realm. This regional unit is particularly applied to the Jurassic and Cretaceous systems for stratigraphic correlation, often in contrast to the Boreal superstage.",UNIDADE_CRONO
Neoaptian,"The Neoaptian is a sub-age of the Early Cretaceous Epoch that constitutes the upper part of the Aptian Age. It represents the crucial time interval for the deposition of the main pre-salt carbonate reservoirs in the Santos and Campos basins. This sub-age immediately precedes the widespread deposition of the Aptian salt, which forms the regional seal for these hydrocarbon systems.",UNIDADE_CRONO
Ariri,"The Ariri Formation is an Aptian evaporitic lithostratigraphic unit of the Santos Basin that is composed predominantly of halite with intercalations of anhydrite, carnallite, and tachyhydrite. This unit was deposited in a restricted marine sag basin during the post-rift phase. It constitutes the main regional seal for the underlying Pre-Salt carbonate reservoirs.",UNIDADE_LITO
aragonite,"Aragonite is a carbonate mineral that is a metastable, orthorhombic polymorph of calcium carbonate (CaCO₃), distinguishing it from the more stable trigonal polymorph, calcite. It is a common primary biogenic and inorganic precipitate in modern marine environments, forming the skeletons of many organisms and inorganic cements. Over geological time, it typically inverts to calcite, a diagenetic process with significant implications for the evolution of porosity in carbonate reservoirs.",MINERAIS
calcretes,"A calcrete is a terrestrial carbonate rock formed by the cementation of soil, regolith, or sediment by calcium carbonate precipitated from soil water within the vadose zone. Its development is characteristic of arid to semi-arid climates where evaporation exceeds precipitation, leading to the concentration of dissolved salts. These rocks can exhibit a range of fabrics, from nodular to massive and laminar, often indicating prolonged periods of subaerial exposure.",ROCHA
Turonian,The Turonian is a chronostratigraphic stage of the Upper Cretaceous Series that is positioned between the underlying Cenomanian Stage and the overlying Coniacian Stage. It comprises all rock layers deposited during the Turonian Age of the Late Cretaceous Epoch. This unit corresponds to the geologic time interval from approximately 93.9 to 89.8 million years ago.,UNIDADE_CRONO
magma,"Magma is a naturally occurring molten to semi-molten rock material that is generated within the Earth and forms igneous rocks upon cooling and solidification. It is a complex, high-temperature fluid substance that may contain suspended crystals and dissolved gases. Magma is distinguished from lava, which is molten rock that has been extruded onto the Earth's surface.",ROCHA
Palaeoproterozoic,"The Palaeoproterozoic is a geologic era of the Proterozoic Eon that spans the interval of time from 2500 to 1600 million years ago, succeeding the Neoarchean Era and preceding the Mesoproterozoic Era. This era is characterized by the initial stabilization of modern continental cratons and the fundamental change in Earth's surface environment caused by the Great Oxidation Event.",UNIDADE_CRONO
mollusk,"A fossil mollusk is a fossil that represents the preserved remains, trace, or impression of an invertebrate animal from the phylum Mollusca, typically found as a calcareous shell, internal mold, or external cast. These fossils are significant rock-forming components in many carbonate successions, such as coquinas, and are widely used as index fossils for biostratigraphic correlation and paleoenvironmental reconstruction.",FOSSEIS
Pleistocene,"The Pleistocene is a geological epoch of the Quaternary Period that spans from approximately 2.58 million to 11,700 years before present, positioned between the Pliocene and Holocene epochs. This epoch is defined by repeated cycles of continental glaciation, commonly known as ice ages, and the emergence and global dispersal of modern humans. The body of rock strata formed during this time is referred to as the Pleistocene Series.",UNIDADE_CRONO
Mesozoic,"The Mesozoic Era is a geochronologic era of the Phanerozoic Eon that succeeds the Paleozoic Era and precedes the Cenozoic Era, spanning from approximately 252 to 66 million years ago. It is formally divided into the Triassic, Jurassic, and Cretaceous periods. This era is characterized by the dominance of reptiles, such as dinosaurs, and the emergence of mammals, birds, and flowering plants.",UNIDADE_CRONO
gravel,"Gravel is an unconsolidated clastic sediment that is predominantly composed of rock fragments with a particle diameter greater than 2 millimeters. According to the Wentworth scale, this size class encompasses granules, pebbles, cobbles, and boulders. It typically accumulates in high-energy depositional environments.",NAO_CONSOLID
Paleozoic,"The Paleozoic is a geologic era of the Phanerozoic Eon that is positioned between the Neoproterozoic and Mesozoic eras, spanning from approximately 541 to 251.9 million years ago. This era is marked by the rapid diversification of complex life in the Cambrian explosion, the colonization of land by plants and vertebrates, and its conclusion with the Permian-Triassic mass extinction event.",UNIDADE_CRONO
Santonian,The Santonian is a geologic age of the Late Cretaceous Epoch and its corresponding chronostratigraphic stage that is positioned between the Coniacian and Campanian ages. The Santonian spans the time interval from approximately 86.3 to 83.6 million years ago. It is defined by the first appearance of the inoceramid bivalve *Platyceramus undulatoplicatus* and ends at the first appearance of the ammonite *Placenticeras bidorsatum*.,UNIDADE_CRONO
Campanian,"The Campanian is a geologic age of the Late Cretaceous Epoch and its corresponding chronostratigraphic stage that is positioned between the Santonian and Maastrichtian, spanning the time interval from approximately 83.6 to 72.1 million years ago.",UNIDADE_CRONO
carbonate mounds,"A carbonate mound is a discrete carbonate rock body that forms a positive-relief feature constructed primarily by the in-situ accumulation of carbonate material. Its genesis is commonly attributed to microbial precipitation or the baffling and binding activity of skeletal organisms, resulting in a lithosome with internal fabrics distinct from the surrounding strata. These buildups often constitute significant reservoir bodies due to their potential for developing high-quality primary and secondary porosity.",ROCHA
Early Cretaceous,"The Early Cretaceous is a geologic epoch of the Mesozoic Era that extends from approximately 145 to 100.5 million years ago, positioned between the preceding Jurassic Period and the succeeding Late Cretaceous Epoch. This time interval is characterized by major tectonic events, most notably the advanced stages of the fragmentation of the Gondwana supercontinent and the opening of the South Atlantic Ocean. Geologically, it encompasses the critical syn-rift and sag phases responsible for the deposition of the prolific pre-salt carbonate successions in the marginal basins of Brazil and West Africa.",UNIDADE_CRONO
pelites,"Pelites are fine-grained siliciclastic sedimentary rocks that are composed predominantly of consolidated clay- and silt-sized particles, typically smaller than 62.5 micrometers in diameter. They represent the lithified equivalent of mud. This category encompasses specific rock types such as mudstone, claystone, and shale, which are further distinguished by features like fissility.",ROCHA
evaporites,"Evaporites are a class of chemical sedimentary rock that is formed by the precipitation of water-soluble salt minerals from a concentrated aqueous solution resulting from evaporation. They are typically composed of minerals such as halite, anhydrite, and gypsum. In sedimentary basins, thick successions of evaporites often act as highly effective seals for hydrocarbon accumulations.",ROCHA
Formação Itapema,"A Formação Itapema é uma unidade litoestratigráfica de idade Aptiana da Bacia de Santos que é composta por um intervalo de folhelhos, margas e carbonatos laminados ricos em matéria orgânica. Depositada em um sistema lacustre profundo durante a fase sag, esta unidade representa a seção distal e a principal rocha geradora do sistema petrolífero do Pré-Sal.",UNIDADE_LITO
bioturbation,"Bioturbation is a sedimentary structure that results from the displacement and mixing of sediment by the vital activities of organisms. It encompasses a range of features from discrete trace fossils (ichnofossils), such as burrows and trails, to a complete homogenization of the original sedimentary layers, creating a mottled fabric. This reworking can fundamentally alter the primary petrophysical properties of the rock, such as porosity and permeability, thereby influencing reservoir quality.",ESTRUTURA_FISICA
Açu,"Açu is a Cretaceous lithostratigraphic formation of the Potiguar Basin that is composed predominantly of sandstones deposited by fluvial-deltaic systems. Deposited during the Albian-Cenomanian, this unit constitutes the main onshore petroleum reservoir of the basin.",UNIDADE_LITO
Eodanian,"The Eodanian is a proposed chronostratigraphic unit of stage rank that represents the earliest subdivision of the Ediacaran Period. Geochronologically, it corresponds to the Eodanian Age, positioned immediately after the Marinoan glaciation of the Cryogenian Period. This unit is often characterized by the deposition of widespread cap carbonates overlying Neoproterozoic glacial deposits.",UNIDADE_CRONO
depressions,"A depression is a physical structure on a geological surface that is characterized by a lower elevation relative to its surrounding area. It is formed by diverse geological processes, including tectonic subsidence, erosion, or dissolution. Such features can act as preferential sites for the accumulation of sediments and fluids.",ESTRUTURA_FISICA
diamictites,"A diamictite is a terrigenous sedimentary rock that is characterized by a poorly sorted to unsorted texture, containing particles ranging in size from clay to boulders suspended in a finer-grained matrix. The term is descriptive and does not imply a specific depositional origin, although many diamictites are of glacial origin (tillites).",ROCHA
clay,Clay is a fine-grained unconsolidated siliciclastic sediment that is composed predominantly of clay mineral particles with a grain size of less than 4 micrometers.,NAO_CONSOLID
Oligocene,"The Oligocene is a geologic epoch of the Paleogene Period that extends from 33.9 to 23.03 million years ago, positioned between the Eocene and Miocene epochs.",UNIDADE_CRONO
Santos Basins,"The Santos Basin is an offshore sedimentary basin that is located on the southeastern Brazilian continental margin, extending from the Cabo Frio High in the north to the Florianópolis High in the south. Formed during the Early Cretaceous rifting of the South Atlantic, its geological evolution resulted in the deposition of a thick sedimentary succession containing multiple petroleum systems. The basin is globally renowned for hosting the supergiant oil and gas accumulations of the Pre-Salt play, characterized by highly productive lacustrine microbial and coquina carbonate reservoirs.",BACIA
sergipe-alagoas,"The Sergipe-Alagoas Basin is a marginal rift basin on the northeastern Brazilian continental margin that was formed during the Early Cretaceous rifting event associated with the opening of the South Atlantic Ocean. It comprises both onshore and offshore segments and hosts a prolific petroleum system with significant hydrocarbon accumulations in pre-salt, salt, and post-salt sequences.",BACIA
granites,"Granite is a felsic, intrusive igneous rock that is characterized by a phaneritic texture and a mineral composition dominated by quartz and alkali feldspar, with subordinate plagioclase and micas.",ROCHA
Macabu,"The Macabu Formation is an Aptian formation of the Lagoa Feia Group that is composed of a thick evaporitic succession. This unit, found in the Santos and Campos Basins, is characterized by extensive layers of halite and anhydrite. It constitutes the main regional seal for the underlying Pre-Salt petroleum system.",UNIDADE_LITO
quaternary,"The Quaternary is a geologic period and its corresponding chronostratigraphic system that constitutes the most recent subdivision of the Cenozoic Era, spanning from 2.58 million years ago to the present day. It is formally subdivided into the Pleistocene and Holocene epochs and their corresponding series. The Quaternary is characterized by cyclical glaciations, the extinction of large mammals, and the emergence and dispersal of modern humans.",UNIDADE_CRONO
miliolid,"A miliolid is a type of benthic foraminifer that possesses an imperforate test composed of high-magnesium calcite, typically characterized by a quinqueloculine or similar chamber arrangement. As a bioclast, it is a significant grain component in many shallow-water carbonate rocks.",MINERAIS
crustone,"A crustone is a type of carbonate boundstone that is supported by a framework of encrusting and laminated, typically microbial or abiotic, precipitates. The framework is bound together during deposition, creating a rigid in-situ structure that often preserves high primary porosity. This lithofacies is a characteristic component of the lacustrine reservoir systems of the Brazilian Pre-Salt.",ROCHA
dolo mud,"A dolo mud is a carbonate rock composed predominantly of dolomite that is characterized by a mud-supported fabric consisting of clay- to silt-sized crystals. This lithology, formally classified as a dolo-mudstone, is defined by having less than 10% grains within its micritic matrix. It represents the lithified equivalent of an unconsolidated dolomite mud sediment.",ROCHA
Hauterivian,The Hauterivian is a chronostratigraphic stage of the Early Cretaceous Epoch that succeeds the Valanginian Stage and precedes the Barremian Stage. It corresponds to the geological age spanning the time interval from approximately 132.6 to 129.4 million years ago.,UNIDADE_CRONO
karst,"A karst is a complex diagenetic feature set that develops in soluble rocks, such as carbonates and evaporites, through dissolution by chemically aggressive fluids. This process creates a multi-scale network of enhanced porosity and permeability, ranging from vugs and enlarged fractures to extensive cave systems. In the subsurface, these features can form highly productive hydrocarbon reservoirs by acting as preferential pathways for fluid flow.",ROCHA
Santos Formation,"The Santos Formation is a Cenozoic lithostratigraphic unit that constitutes the post-rift, passive margin sedimentary sequence of the Santos Basin. It is predominantly composed of a thick succession of siliciclastic rocks, including shales, sandstones, and turbidites, deposited in marine environments. This unit unconformably overlies the Itajaí-Açu Formation and represents the overburden of the Pre-Salt petroleum system.",UNIDADE_LITO
formation,"A formation is the fundamental formal lithostratigraphic unit that consists of a body of rock strata with distinct and unifying lithological characteristics, which is mappable at the surface or traceable in the subsurface. It is the primary unit used in the geological description and mapping of a region.",UNIDADE_LITO
Archean,"The Archean is a geologic eon that spans the time interval from 4.0 to 2.5 billion years ago, following the Hadean and preceding the Proterozoic Eon. It is the interval during which the first continental cratons stabilized and the earliest evidence of life, primarily prokaryotic, appeared in the rock record.",UNIDADE_CRONO
granitoids,"Granitoids are a category of coarse-grained, felsic, intrusive igneous rocks that are mineralogically defined by a quartz content of 20% to 60% of the QAPF fraction. This term encompasses a range of plutonic rocks, including granite, granodiorite, and tonalite, which are distinguished by their relative proportions of alkali feldspar and plagioclase. Their phaneritic texture is a result of slow crystallization of magma deep within the Earth's crust.",ROCHA
Namibe,"The Namibe Basin is a divergent passive margin sedimentary basin that extends offshore from southern Angola to northern Namibia. Formed during the Early Cretaceous opening of the South Atlantic, it is the African conjugate to the Pelotas Basin and contains a prospective pre-salt petroleum system sealed by Aptian evaporites.",BACIA
kwanza basins,"The Kwanza Basin is an Aptian salt-bearing passive margin basin located offshore Angola that represents the African conjugate margin to the Santos and Campos basins of Brazil. Formed by the Early Cretaceous rifting of the South Atlantic, it contains a world-class pre-salt petroleum system characterized by lacustrine source rocks and microbial carbonate reservoirs. This geological setting makes it a direct analogue to the prolific hydrocarbon provinces of the Brazilian Pre-Salt.",BACIA
mudrocks,"Mudrocks are a class of fine-grained sedimentary rocks that are composed predominantly of silt- and clay-sized particles, typically smaller than 62.5 micrometers in diameter. This group encompasses lithologies such as mudstone, claystone, siltstone, and shale, which are distinguished by their specific grain-size distribution and the presence or absence of lamination. Due to their characteristically low permeability, they commonly function as seals or organic-rich source rocks within petroleum systems.",ROCHA
shallow,"A shallow paleoenvironment is an aquatic depositional environment that is characterized by a water depth sufficiently limited to be situated within the photic zone and typically above the storm wave base. This setting is directly influenced by climatic and hydrodynamic conditions at the water surface, such as wave action, tides, and solar radiation. These factors exert a primary control on the sedimentology, geochemistry, and biological communities of the resulting deposits.",PALEOAMBIENTE
cobbles,"Cobbles are sedimentary clasts, typically rounded by transport, that are defined by a particle diameter ranging from 64 to 256 millimeters. These clasts are the primary framework constituents of a conglomerate, a type of siliciclastic sedimentary rock.",ROCHA
barite,"Barite is a chemical sedimentary rock that is composed predominantly of the mineral barite (barium sulfate). This monomineralic rock is characterized by its exceptionally high specific gravity, typically forming from the precipitation of barium sulfate from hydrothermal fluids or within specific marine depositional settings. It can occur as massive beds, lenses, or nodular concretions within a sedimentary sequence.",ROCHA
Paleocene,"The Paleocene is the earliest geologic epoch of the Paleogene Period that spans the time interval from approximately 66 to 56 million years ago. It marks the beginning of the Cenozoic Era, immediately following the mass extinction event that concluded the Cretaceous Period. The rocks deposited during this epoch constitute the Paleocene Series.",UNIDADE_CRONO
barra velha formation,"The Barra Velha Formation is an Aptian-age lithostratigraphic unit that constitutes the primary reservoir interval within the pre-salt succession of the Santos and Campos basins. It is characterized by a complex succession of lacustrine carbonates, including microbialites, spherulites, and coquinas, deposited in a saline and alkaline system associated with the early rifting stages of the South Atlantic Ocean.",UNIDADE_LITO
carbonate,"A carbonate rock is a class of sedimentary rock that is composed of more than 50 percent carbonate minerals, principally calcite and dolomite. These rocks typically form either biogenically from the accumulation of skeletal fragments or abiogenically through direct chemical or microbially-induced precipitation from water. The primary types of carbonate rocks are limestone and dolostone.",ROCHA
Bacia de Campos,"The Campos Basin is an offshore sedimentary basin located on the southeastern Brazilian continental margin that was formed during the Early Cretaceous rifting associated with the opening of the South Atlantic Ocean. It represents one of Brazil's most prolific hydrocarbon provinces, hosting giant oil fields in post-salt deepwater turbidite systems and significant accumulations in the pre-salt carbonate succession. The basin's geological evolution comprises distinct rift, post-rift, and drift phases, which controlled the deposition of its main source rocks and reservoirs.",BACIA
Early Aptian,"The Early Aptian is a geochronologic age of the Early Cretaceous Epoch that follows the Barremian Age and precedes the Late Aptian Age. This age, spanning from approximately 125.0 to 121.4 million years ago, is particularly significant in the South Atlantic as it encompasses the final phase of pre-salt carbonate deposition before the widespread Aptian salt event.",UNIDADE_CRONO
Formação Ariri,"The Ariri Formation is an Aptian lithostratigraphic formation of the Santos Group that is characterized by a thick succession of evaporites, primarily halite with associated anhydrite and tachyhydrite. Occurring in the Santos Basin, this unit constitutes the primary regional seal for the prolific hydrocarbon accumulations of the underlying pre-salt carbonate reservoirs. It is stratigraphically positioned above the Barra Velha Formation and below the post-salt successions.",UNIDADE_LITO
Albian,"The Albian is a geochronologic age of the geologic timescale that constitutes the final subdivision of the Early Cretaceous Epoch. It follows the Aptian Age and precedes the Cenomanian Age, spanning the time from approximately 113.0 to 100.5 million years ago. The body of rock strata deposited during this time is defined as the Albian Stage.",UNIDADE_CRONO
alluvial fans,"An alluvial fan is a terrestrial depositional system, characterized by a fan- or cone-shaped accumulation of sediment, that is deposited where a high-gradient, confined flow emerges onto a lower-gradient, unconfined surface. This paleoenvironment is dominated by coarse-grained, poorly sorted deposits from debris flows, sheet floods, and braided streams, which typically fine distally from the fan apex.",PALEOAMBIENTE
