Term,Category,Reasoning,Original_Label,NLD
Guaruja,Depositional Unit,"The NLD describes the Guaruja Formation as a 'lithostratigraphic unit of formation rank' composed of deep-water deposits, which aligns with the definition of a mappable sedimentary geological object.",UNIDADE_LITO,"The Guaruja Formation is a lithostratigraphic unit of formation rank within the Santos Group that is composed of Late Cretaceous deep-water siliciclastic deposits. It is characterized by the predominance of turbiditic sandstones, which constitute significant hydrocarbon reservoirs, interbedded with shales and marls. This unit represents deposition in a deep marine environment of the Santos Basin during the post-rift phase."
calcilutite,Sedimentary Rock,"The NLD defines it as a lithified rock composed of carbonate particles, which directly matches the definition of a rock constituted by sedimentary grains.",ROCHA,A calcilutite is a lithified carbonate rock that is composed predominantly of silt- and clay-sized carbonate particles.
ridge,Levee Unit,"The NLD describes an elongated, positive topographic feature, which aligns with the definition of a Levee Unit as a depositional unit forming a bank or ridge geomorphology.",ESTRUTURA_FISICA | PALEOAMBIENTE,"A ridge is an elongated, positive paleo-topographic feature that separates adjacent depositional lows, typically representing a zone of higher hydrodynamic energy. This feature fundamentally controls the distribution and character of sedimentary facies, particularly the development of carbonate buildups. These structures are critical for the formation of microbial and coquina reservoirs, such as those found in the Brazilian Pre-Salt."
tufa,Sedimentary Rock,"The NLD explicitly defines tufa as a 'carbonate rock' formed by a precipitation process, which is a type of sedimentary formation.",ROCHA,"A tufa is a porous carbonate rock that is formed by the precipitation of calcium carbonate from ambient-temperature water, typically in freshwater environments such as springs and lakes. It is distinguished by a spongy, cellular fabric that commonly results from the encrustation of plants, microbes, or other organic matter."
water,Earth Fluid,"The NLD defines the term as a 'naturally occurring subsurface fluid', which directly matches the definition of Earth Fluid as an Earth Material representing a volume of fluid such as water.",FLUIDODATERRA,"Water is a naturally occurring subsurface fluid that is composed of the polar inorganic compound H₂O and contains a variable amount of dissolved solids. It is a fundamental component of petroleum systems, occupying the pore space of rocks and influencing diagenesis, fluid flow, and hydrocarbon accumulation. Its physical and chemical properties, such as salinity and density, are critical for reservoir characterization and production."
spherestone,Sedimentary Rock,"The NLD defines the term as a 'grain-supported carbonate rock' composed of grains, which directly matches the definition of a Sedimentary Rock.",ROCHA,"A spherestone is a grain-supported carbonate rock that is composed predominantly of spherulites, which are spherical to subspherical, non-skeletal, concentrically laminated grains. This lithology is a characteristic and important reservoir facies within the lacustrine successions of the Brazilian Pre-Salt."
Neoproterozoic,Geological Time Interval,"The NLD defines the term as a geologic era that extends from a start to an end point in time, which is a temporal region within global geological time.",UNIDADE_CRONO,"The Neoproterozoic is the terminal geologic era of the Proterozoic Eon that extends from 1,000 to 538.8 million years ago. This era is characterized by major tectonic events, including the breakup of the supercontinent Rodinia, and the most severe glaciations in Earth's history. It culminates with the appearance of the first complex multicellular organisms, known as the Ediacaran biota."
Campos,Sedimentary Geological Object,The NLD describes the Campos Basin as a large-scale geological feature constituted by sedimentary rocks and sediments that host petroleum reservoirs.,BACIA,"The Campos Basin is an offshore passive margin basin located on the southeastern Brazilian continental margin that was formed during the Early Cretaceous rifting of the South Atlantic Ocean. It represents Brazil's most prolific petroleum province, hosting giant oil fields in post-salt deepwater turbidite reservoirs and significant accumulations in the underlying pre-salt carbonate section."
Aptian,Geological Time Interval,The NLD explicitly defines the term as a 'geologic time interval from approximately 125.0 to 113.0 million years ago' during which rock strata were deposited.,UNIDADE_CRONO,"The Aptian is a chronostratigraphic stage of the Lower Cretaceous Series that encompasses all rock strata deposited between the end of the Barremian Stage and the beginning of the Albian Stage. This stage corresponds to the geologic time interval from approximately 125.0 to 113.0 million years ago. In the South Atlantic marginal basins, the Aptian is the critical interval during which the prolific microbial and coquina carbonate reservoirs of the Pre-Salt were deposited under sag-phase lacustrine conditions."
Campos Basin,Geological Object,"The NLD describes the Campos Basin as a distinct entity ('marginal rift basin') formed by a geological process ('separation of South America and Africa'), which aligns with the definition of a Geological Object.",BACIA,"The Campos Basin is an Atlantic-type marginal rift basin that is located on the southeastern Brazilian continental margin, formed during the Early Cretaceous separation of South America and Africa. It constitutes one of Brazil's most prolific petroleum provinces, hosting giant hydrocarbon accumulations. The basin's main reservoirs are found in post-salt deep-water turbidite sandstones and pre-salt microbial carbonates."
Alagoas,Geological Time Interval,"The NLD defines the term as a 'chronostratigraphic superstage' positioned on the 'international geological time scale', which is a temporal region occupied by geological processes.",UNIDADE_CRONO,"Alagoas is a Brazilian chronostratigraphic superstage that is positioned in the Lower Cretaceous, being chronocorrelated with the Aptian Stage of the international geological time scale. This unit records the final stages of rifting and the beginning of the marine transgression in the South Atlantic, encompassing the deposition of the main evaporitic section in the Brazilian marginal basins."
lakes,Depositional System,"The NLD explicitly defines a lacustrine paleoenvironment as a 'continental depositional system', which is a direct match to the category definition.",PALEOAMBIENTE,"A lacustrine paleoenvironment is a continental depositional system that is centered on a permanent or semi-permanent standing body of water within a topographically enclosed basin. Sedimentation is controlled by factors such as water chemistry, climate, tectonics, and biological activity, resulting in deposits that can range from siliciclastic to chemical and biogenic carbonates. These systems are characterized by relatively low-energy conditions, although wave and current action can be significant in larger lakes."
Barra Velha,Depositional Unit,"The NLD defines it as a 'lithostratigraphic formation' composed of 'lacustrine carbonates' deposited in a specific system, which is a type of mappable sedimentary body.",UNIDADE_LITO,"Barra Velha is a lithostratigraphic formation of Aptian age that constitutes the main reservoir of the Brazilian Pre-Salt province in the Santos and Campos basins. It is composed of a complex succession of lacustrine carbonates, characterized by unique microbial and abiotic facies such as shrubs and spherulites, deposited within a continental rift system. The formation's extreme heterogeneity in depositional textures and diagenetic overprint exerts a primary control on its reservoir quality."
Jiquiá,Geological Time Interval,The NLD defines the term as a 'chronostratigraphic stage' and a 'critical time interval' within the Brazilian geological time scale.,UNIDADE_CRONO,"Jiquiá is a local chronostratigraphic stage of the Brazilian geological time scale that corresponds approximately to the Barremian Stage of the Lower Cretaceous. Positioned between the underlying Aratu Stage and the overlying Alagoas Stage, it represents a critical time interval for the deposition of pre-salt lacustrine source rocks and carbonate reservoirs in Brazilian marginal basins."
Kwanza,Geological Object,"The NLD describes the Kwanza Basin as a large-scale feature formed by a geological process (rifting), which aligns with the definition of a Geological Object.",BACIA,The Kwanza Basin is a South Atlantic passive margin basin located offshore Angola that represents the African conjugate to the prolific hydrocarbon provinces of the Santos and Campos basins in Brazil. It was formed during the Early Cretaceous rifting of Gondwana and is characterized by a thick Aptian salt succession that overlies a major pre-salt petroleum system hosted in lacustrine carbonates. The basin also contains significant post-salt petroleum accumulations in clastic and carbonate reservoirs.
Albian,Geological Time Interval,"The NLD explicitly defines the term as a specific 'time interval' within the geologic timescale, which is the direct definition of a Geological Time Interval.",UNIDADE_CRONO,"The Albian is a chronostratigraphic stage that represents the final subdivision of the Lower Cretaceous Series. As a geologic age, it follows the Aptian and precedes the Cenomanian, spanning the time interval from approximately 113.0 to 100.5 million years ago. In the context of Brazilian marginal basins, this interval is marked by the onset of the post-rift thermal sag phase, encompassing significant marine carbonate platform deposition overlying the pre-salt rift section."
faulting,Geological Process,"The NLD explicitly defines faulting as a 'geological process' involving the deformation and displacement of rock, which directly aligns with the category definition.",ESTRUTURA_FISICA,"Faulting is a geological process of brittle deformation that involves the fracture and subsequent displacement of rock masses along a discrete surface or zone. This process occurs when accumulated tectonic stress exceeds the rock's shear strength, causing relative movement between the resulting rock blocks. It is a primary mechanism for accommodating strain in the Earth's upper crust."
Precambrian,Geological Time Interval,"The NLD explicitly defines the term as a 'geochronologic supereon' and a 'vast interval of geologic time', which corresponds to the definition of a Geological Time Interval.",UNIDADE_CRONO,"The Precambrian is a geochronologic supereon that encompasses the Hadean, Archean, and Proterozoic Eons. It represents the vast interval of geologic time from the formation of the Earth, approximately 4.6 billion years ago, until the beginning of the Cambrian Period, 538.8 million years ago. This supereon accounts for approximately 88% of Earth's history and is marked by the origin of life, the oxygenation of the atmosphere, and the assembly of the first continents."
laminations,Sedimentary Structure,The NLD explicitly defines the term as a 'type of primary sedimentary structure' that describes the internal arrangement of planar layers.,ESTRUTURA_FISICA,"Laminations are a type of primary sedimentary structure that consists of planar layers, typically less than one centimeter thick, which are distinguishable from adjacent layers by changes in properties such as grain size, mineralogy, or organic matter content. These structures record short-term fluctuations in depositional conditions."
lamination,Sedimentary Structure,The NLD explicitly defines lamination as a 'primary sedimentary structure' that describes the internal arrangement of layers within a deposit.,ESTRUTURA_FISICA,"Lamination is a primary sedimentary structure that consists of a sequence of planar to sub-planar layers, or laminae, that are individually less than one centimeter thick. These laminae are distinguished by variations in grain size, mineralogy, or organic matter content. This structure typically reflects short-term, often rhythmic, changes in depositional energy or sediment supply."
Itapema,Depositional Unit,"The NLD defines Itapema as a 'lithostratigraphic unit' that was 'deposited' in a lacustrine system, which aligns with the definition of a recognizable sedimentary geological object.",UNIDADE_LITO,"Itapema is an Aptian-age lithostratigraphic unit of the Santos Basin Pre-Salt that constitutes the upper section of the Barra Velha Formation. It is characterized by a succession of laminated microbial carbonates, spherulites, and reworked grainstones deposited in a high-energy, alkaline lacustrine system. This unit represents one of the most important reservoir intervals in the Brazilian Pre-Salt due to its distinct depositional facies and diagenetic history."
Formação Barra Velha,Depositional Unit,"The NLD defines the term as a 'lithostratigraphic formation' and a 'unit' composed of deposited carbonates, which fits the definition of a mappable Sedimentary Geological Object.",UNIDADE_LITO,"The Barra Velha Formation is an Aptian-age lithostratigraphic formation of the Santos Basin that is characterized by a unique succession of lacustrine carbonates deposited in a saline alkaline lake system. This unit is composed of highly porous facies, including microbialites and reworked coquinas, which constitute the primary petroleum reservoirs of the Brazilian Pre-Salt."
alluvial,Sedimentary Facies,"The NLD describes the collective sedimentological characteristics of the resulting deposits, which defines a sedimentary facies.",PALEOAMBIENTE,"An alluvial paleoenvironment is a terrestrial depositional environment that is dominated by fluvial processes of erosion, transport, and deposition by rivers and streams. It comprises a range of sub-environments, including alluvial fans, braided river plains, and meandering river floodplains. The resulting deposits, collectively known as alluvium, typically consist of poorly to moderately sorted siliciclastic sediments ranging from conglomerates to mudstones."
Santos Campos,Geological Object,"The NLD defines it as a 'petroleum province' comprising basins, which is a large-scale, identifiable entity generated by geological processes.",BACIA,Santos Campos is a world-class petroleum province on the southeastern Brazilian continental margin that comprises the adjacent Santos and Campos basins. This province is globally significant for hosting prolific deepwater post-salt siliciclastic reservoirs and the giant pre-salt hydrocarbon accumulations in microbial and coquinoid carbonates. It represents the primary locus of oil and gas production and exploration in Brazil.
vuggy,Sedimentary Structure,"The NLD defines 'vuggy' as a structure characterized by the presence of pores (vugs), which describes the internal arrangement of a rock, fitting the definition of a Sedimentary Structure.",ESTRUTURA_FISICA,"A vuggy structure is a physical characteristic of a rock that is defined by the presence of pores, known as vugs, which are substantially larger than the rock's primary fabric-forming components. These vugs are commonly created by the dissolution of minerals or allochems, and their degree of interconnection is a critical factor controlling the effective permeability of the reservoir."
Santos Basin,Geological Object,"The NLD describes the Santos Basin as a distinct geological feature ('marginal basin') formed by a geological process ('rifting'), which aligns with the definition of a Geological Object.",BACIA,"The Santos Basin is an Atlantic-type marginal basin that is located on the southeastern continental margin of Brazil, formed during the Early Cretaceous rifting of the South Atlantic Ocean. It is bounded by the Cabo Frio High to the north and the Florianópolis High to the south. The basin is globally renowned for hosting the most significant giant and super-giant hydrocarbon accumulations of the 21st century, situated primarily within the lacustrine carbonate reservoirs of the pre-salt succession."
CO2,Earth Fluid,"The NLD describes CO2 as a 'naturally occurring, inorganic fluid component' that can exist as a gas, liquid, or supercritical phase within a reservoir, which is the definition of an Earth Fluid.",FLUIDODATERRA,"Carbon dioxide (CO2) is a naturally occurring, inorganic fluid component that is commonly found associated with, or dissolved in, hydrocarbon accumulations within a petroleum system. Under reservoir conditions, it can exist as a gas, liquid, or supercritical phase, significantly influencing the physical properties and phase behavior of the reservoir fluids. Its origin can be magmatic, biogenic, or related to the thermal maturation of organic matter and minerals."
cracks,Geological Structure,"The NLD defines a crack as a fracture and a physical discontinuity within a rock body, which aligns with the definition of a Geological Structure describing the internal arrangement of a Geological Object.",ESTRUTURA_FISICA,A crack is a fracture that forms a narrow surface of physical separation within a rock body where cohesion has been lost due to stress. This discontinuity is typically of a small scale and accommodates strain with little to no shear displacement.
silt,Sediment,"The NLD defines silt as a 'clastic sediment' and an 'unconsolidated material' composed of mineral particles, which directly matches the definition of the Sediment category.",NAO_CONSOLID,Silt is a clastic sediment that is composed of mineral particles with a grain size diameter ranging from 0.0039 to 0.0625 millimeters. It typically consists of fine-grained fragments of quartz and feldspar. This unconsolidated material is distinguished from clay by its low plasticity and from sand by its lack of grittiness to the fingers.
anhydrite,Sedimentary Rock,"The NLD explicitly defines anhydrite as an 'evaporite rock', which is a type of rock constituted by a collection of sedimentary grains or particles.",ROCHA,"Anhydrite is a monomineralic evaporite rock that is composed almost exclusively of the mineral anhydrite (CaSO4). It forms either by direct chemical precipitation from hypersaline water or through the diagenetic dewatering of precursor gypsum deposits during burial. This rock is characterized by a crystalline texture and very low permeability, making it a critical sealing lithology in many sedimentary basins."
Espírito Santo,Sedimentary Geological Object,"The NLD describes the Espírito Santo Basin as a large-scale feature containing a succession of sedimentary rocks, such as carbonates and sandstones, fitting the definition of a geological object constituted by sediment or sedimentary rock.",BACIA,The Espírito Santo Basin is a marginal rift basin on the southeastern Brazilian continental margin that was formed during the Early Cretaceous opening of the South Atlantic Ocean. It contains a complete rift-drift succession hosting significant hydrocarbon accumulations in both pre-salt and post-salt sections. Key reservoirs include pre-salt lacustrine carbonates of the Lagoa Feia Group and post-salt deep-water turbidite sandstones.
basement,Geological Object,"The NLD describes a basement as a large, unified complex of rocks that acts as a foundation, which aligns with the definition of a Geological Object as a rigid entity with its own identity and unity criteria.",UNIDADE_LITO,A basement is a complex of predominantly igneous and metamorphic rocks that constitutes the crustal foundation upon which a sedimentary basin is deposited. This unit is characteristically older than the overlying sedimentary cover and is separated from it by a major unconformity.
Jurassic,Geological Time Interval,"The NLD explicitly defines the term as a period of time, from approximately 201.3 to 145 million years ago, during which geological processes like rock formation occurred.",UNIDADE_CRONO,"The Jurassic is a chronostratigraphic system that comprises all rocks formed during the Jurassic Period, from approximately 201.3 to 145 million years ago. It is the second system of the Mesozoic Erathem, positioned stratigraphically above the Triassic System and below the Cretaceous System. The Jurassic is subdivided into the Lower, Middle, and Upper Jurassic Series."
pelotas basin,Depositional System,"The NLD describes the basin as a large-scale feature containing a ""thick prograding wedge of post-rift sediments,"" which fits the definition of an object aggregate whose members are linked depositional units.",BACIA,"The Pelotas Basin is a sedimentary basin that constitutes the southernmost segment of the Brazilian passive margin, extending from the Florianópolis High southwards into Uruguayan waters. Formed during the Early Cretaceous rifting associated with the opening of the South Atlantic Ocean, it contains a thick prograding wedge of post-rift sediments. The basin is considered a frontier province for hydrocarbon exploration with proven source rocks and potential reservoir systems."
silica,Earth Material,"The NLD defines silica as a group of minerals and a natural form of silicon dioxide that constitutes a component of the Earth's crust, which fits the definition of a natural amount of matter.",MINERAIS,"Silica is a group of tectosilicate minerals that are natural forms of silicon dioxide (SiO₂), constituting one of the most abundant components of the Earth's crust. This group includes various crystalline polymorphs, with quartz being the most common, as well as amorphous forms such as opal. It occurs as a primary rock-forming mineral, detrital grains, chemical precipitates, or as a common diagenetic cement and replacement product in sedimentary rocks."
wedges,Depositional Unit,"The NLD defines a 'body of rock' or 'stratigraphic unit' with a specific geometry, which is a type of Depositional Unit.",ESTRUTURA_FISICA,"A wedge is a body of rock, typically a stratigraphic unit, that is characterized by a systematic and progressive thinning in a particular direction, terminating in a pinch-out."
folds,Geological Structure,"The NLD explicitly defines folds as a 'class of geological structures' that describe the arrangement of rock layers, which directly matches the GeoCore category definition and its provided examples.",ESTRUTURA_FISICA,"Folds are a class of geological structures that result from the ductile bending or curving of originally planar rock layers, such as sedimentary strata, in response to compressive stress. These wavelike geometries are characterized by elements including limbs, a hinge, and an axial plane. Common types, such as anticlines and synclines, often form crucial structural traps for hydrocarbon accumulations."
valanginian,Geological Time Interval,"The NLD defines the term as an age spanning a specific time interval (from approximately 139.8 to 132.9 million years ago), which is the definition of a Geological Time Interval.",UNIDADE_CRONO,"The Valanginian is an age of the Early Cretaceous Epoch that follows the Berriasian Age and precedes the Hauterivian Age. It corresponds to the body of rock known as the Valanginian Stage, spanning the time interval from approximately 139.8 to 132.9 million years ago."
Miocene,Geological Time Interval,"The NLD defines Miocene as an epoch, a specific period of geological time with a defined start and end, which aligns with the definition of a Geological Time Interval.",UNIDADE_CRONO,"The Miocene is an epoch of the Neogene Period that extends from the end of the Oligocene Epoch, approximately 23.03 million years ago, to the beginning of the Pliocene Epoch, approximately 5.333 million years ago."
Cambrian,Geological Time Interval,"The NLD defines the Cambrian as a 'geologic period' spanning a specific range of millions of years ago, which is the definition of a Geological Time Interval.",UNIDADE_CRONO,"The Cambrian is a geologic period and the first subdivision of the Paleozoic Era, spanning from approximately 538.8 to 485.4 million years ago. It is preceded by the Ediacaran Period and followed by the Ordovician Period. The Cambrian is distinguished by the Cambrian Explosion, a rapid evolutionary radiation where most major animal phyla first appear in the fossil record."
Aptian,Geological Time Interval,"The NLD explicitly defines the term as an 'age' that 'spans the time interval from approximately 125.0 to 113.0 million years ago', which directly matches the definition of a Geological Time Interval.",UNIDADE_CRONO,The Aptian is an age of the Early Cretaceous Epoch and its corresponding chronostratigraphic stage that is positioned between the Barremian and Albian ages. It spans the time interval from approximately 125.0 to 113.0 million years ago. This interval is particularly significant in the South Atlantic as it encompasses the deposition of the main sag-phase lacustrine carbonate reservoirs of the Brazilian Pre-Salt.
Hauterivian,Geological Time Interval,The NLD defines the term as a chronostratigraphic stage and a geologic interval spanning from approximately 132.6 to 125.77 million years ago.,UNIDADE_CRONO,"The Hauterivian is a chronostratigraphic stage of the Lower Cretaceous Series, positioned between the underlying Valanginian Stage and the overlying Barremian Stage. It corresponds to the geologic age spanning from approximately 132.6 to 125.77 million years ago. This interval is critical in the evolution of the South Atlantic marginal basins, encompassing the deposition of important syn-rift sequences of the Pre-Salt section."
colluvial,Geological Process,"The NLD defines the term by describing the transport of sediments via specific non-channelized, gravity-driven processes like sheet wash and soil creep.",PALEOAMBIENTE,"A colluvial paleoenvironment is a terrestrial depositional environment that is situated at the base of hillslopes or cliffs. It is characterized by the accumulation of poorly sorted, heterogeneous sediments, known as colluvium, which are transported downslope primarily by non-channelized, gravity-driven processes such as sheet wash, rainsplash, and soil creep."
rocks,Rock,"The NLD describes a 'consolidated solid material' composed of an aggregate of minerals, which directly matches the GeoCore definition of Rock.",ROCHA,"A rock is a naturally occurring, consolidated solid material that is composed of an aggregate of one or more minerals, mineraloids, or other lithic fragments."
Jiquiá Buracica,Geological Time Interval,The NLD defines the term as a local chronostratigraphic stage correlated with a specific interval (late Valanginian to early Hauterivian) of the geologic time scale.,UNIDADE_CRONO,Jiquiá Buracica is a local chronostratigraphic stage of the Brazilian marginal basins that is positioned in the upper part of the Rio da Serra Superstage. This unit comprises all rock strata deposited during the Jiquiá Buracica Age. It is correlated with the late Valanginian to early Hauterivian interval of the international geologic time scale.
Eoaptian,Geological Time Interval,"The NLD defines the term as a 'geochronologic subage' and a part of the 'Aptian Age', which is a specific interval within Global Geological Time.",UNIDADE_CRONO,The Eoaptian is a geochronologic subage of the Early Cretaceous Epoch that constitutes the first part of the Aptian Age. It is preceded by the Barremian Age and is followed by the Neoaptian Subage. The corresponding chronostratigraphic unit is the Lower Aptian Substage.
galena,Earth Material,"The NLD defines galena as a sulfide mineral, which is a natural, solid amount of matter generated by a geological process.",MINERAIS,"Galena is a sulfide mineral that is chemically composed of lead sulfide (PbS) and constitutes the most important ore of lead. It is characterized by its isometric crystal system, which results in a distinct cubic cleavage, high specific gravity, and a bright metallic luster on fresh surfaces."
grain,Geological Object,"The NLD describes a grain as a 'discrete particle' and a 'fundamental textural element,' which fits the definition of a Geological Object as an entity that holds its own identity and unity criteria.",ROCHA,"A grain is a fundamental textural element of a rock that is a discrete particle composed of a mineral crystal, a rock fragment, or material of biological origin. It is a primary building block of the rock's fabric, distinguishable from the finer-grained matrix or the chemically precipitated cement that may surround it."
Holocene,Geological Time Interval,"The NLD explicitly defines the term as a 'geological epoch' and an 'interval of geologic time', which directly corresponds to the definition of a Geological Time Interval.",UNIDADE_CRONO,"The Holocene is a geological epoch of the Quaternary Period that began approximately 11,700 years before present, following the last major glacial period. As the most recent interval of geologic time, it is characterized by the global spread and significant impact of the human species. Its corresponding chronostratigraphic unit is the Holocene Series."
Campo de Tupi,Depositional System,"The NLD describes the field as containing reservoirs composed of multiple geological formations (Barra Velha and Itapema), which fits the definition of an aggregate of linked depositional units.",CAMPO,"The Tupi Field is a supergiant offshore oil and gas field that is located in the Santos Basin, Brazil, and represents the first major discovery within the Pre-Salt petroleum province. Its reservoirs are primarily composed of microbial and coquinoid carbonates of the Barra Velha and Itapema formations. The field was officially renamed Campo de Lula in 2020."
depósitos carbonáticos,Sedimentary Rock,The NLD explicitly defines the term as a type of sedimentary rock composed of more than 50% carbonate minerals.,ROCHA,"Depósitos carbonáticos são um tipo de rocha sedimentar que é composta por mais de 50% de minerais carbonáticos, como calcita e dolomita. Estas rochas são formadas pela acumulação e litificação de materiais biogênicos, como conchas e esqueletos, ou pela precipitação química ou microbiana a partir de um corpo de água."
shale,Sedimentary Rock,"The NLD explicitly defines the term as a 'fine-grained clastic sedimentary rock', which is a direct match to this category.",ROCHA,"A shale is a fine-grained clastic sedimentary rock, composed predominantly of clay- and silt-sized particles, that is distinguished from other mudrocks by its fissility. This property is defined as the tendency to split readily into thin, parallel layers or laminae, typically aligned with the bedding plane. The rock is rich in clay minerals and organic matter, often serving as a source and reservoir for hydrocarbons."
anhydrite,Sedimentary Rock,"The NLD explicitly defines anhydrite as an 'evaporite rock', which is a type of rock constituted by a collection of sedimentary particles formed via chemical precipitation.",ROCHA,"Anhydrite is an evaporite rock that is composed predominantly of the mineral anhydrite, the anhydrous form of calcium sulfate (CaSO4). It forms by direct chemical precipitation from hypersaline brines or through the diagenetic dehydration of the mineral gypsum (CaSO4·2H2O) during burial. This rock is characterized by a crystalline texture and is commonly associated with halite, gypsum, and carbonates in evaporitic sequences."
cyanobacteria,object,"The NLD defines cyanobacteria as 'microorganisms', which are a canonical example of a BFO object, a material entity that manifests causal unity.",FOSSEIS,"Cyanobacteria are a phylum of photosynthetic prokaryotes that are primary builders of organo-sedimentary structures, such as stromatolites and thrombolites, which constitute one of the oldest and most extensive fossil records on Earth. These microorganisms are fundamental to the formation of microbial carbonate reservoirs."
Neocomian,Sedimentary Geological Object,"The NLD defines the term as a 'body of rock strata deposited' during a specific time, which is a geological object constituted by sedimentary rock.",UNIDADE_CRONO,"The Neocomian is an informal chronostratigraphic subseries that encompasses the lowermost part of the Lower Cretaceous Series. It corresponds to the body of rock strata deposited during the Berriasian, Valanginian, Hauterivian, and Barremian Ages. This unit is particularly significant in the South Atlantic, as it comprises the syn-rift successions that host the main carbonate reservoirs of the Brazilian Pre-Salt."
Phanerozoic,Geological Time Interval,"The NLD defines the term as an 'eon of the geologic time scale,' which is a specific span of time within the Global Geological Time.",UNIDADE_CRONO,"The Phanerozoic is the current eon of the geologic time scale that encompasses the time of abundant animal and plant life, extending from the beginning of the Cambrian Period approximately 541 million years ago to the present. It is subdivided into three eras: the Paleozoic, Mesozoic, and Cenozoic."
chalcedony,Earth Material,"The NLD describes chalcedony as a form of silica and a constituent of rocks, which aligns with the definition of Earth Material as a natural amount of matter generated by a geological process.",MINERAIS,"Chalcedony is a cryptocrystalline form of silica that is composed of very fine intergrowths of the minerals quartz and moganite. It commonly occurs as a diagenetic product in sedimentary rocks, where it can precipitate as cement in pores or replace pre-existing minerals. Chalcedony is the primary constituent of chert and flint."
fluvial,Depositional System,"The NLD describes an environment encompassing multiple linked components like channel systems and floodplains, which fits the definition of an aggregate of mereotopologically linked Depositional Units.",PALEOAMBIENTE,"A fluvial paleoenvironment is a terrestrial depositional environment that is dominated by the erosional and depositional action of rivers and streams. It encompasses both the channel systems, where sediment is primarily transported and deposited, and the adjacent floodplains, which accumulate finer-grained sediment during overbank flood events. The resulting sedimentary deposits are collectively known as alluvium."
buracica,Geological Time Interval,"The NLD defines the term as a 'chronostratigraphic unit' and a 'key interval' corresponding to a specific geological period (Late Jurassic), which aligns with the definition of a Geological Time Interval.",UNIDADE_CRONO,Buracica is a local chronostratigraphic unit of the Recôncavo Basin that comprises the rock successions deposited during the Late Jurassic (Kimmeridgian-Tithonian). This unit is stratigraphically positioned within the Santo Amaro Supersequence and represents a key interval of the pre-rift phase of the basin. Its geochronological equivalent is the Buracican Age.
deltas,Depositional System,"The NLD explicitly defines a delta as a 'depositional system' composed of multiple linked depositional units (delta plain, delta front, prodelta).",PALEOAMBIENTE,"A delta is a progradational clastic depositional system that develops when a river supplies sediment to a standing body of water more rapidly than it can be removed by basinal processes. This deposition results in a characteristic tripartite facies succession composed of delta plain, delta front, and prodelta sub-environments. The resulting geomorphology and stratigraphic architecture are controlled by the relative influence of fluvial discharge, wave energy, and tidal currents."
muscovite,Earth Material,"The NLD defines muscovite as a rock-forming mineral, which is a type of natural matter that constitutes rocks, aligning with the definition of an Earth Material.",MINERAIS,"Muscovite is a common rock-forming phyllosilicate mineral of the mica group that is chemically a hydrated potassium aluminum silicate, distinguished by its perfect basal cleavage which allows it to be split into thin, flexible, and elastic laminae. It is a characteristic mineral of felsic igneous rocks, such as granites and pegmatites, and of metamorphic rocks like schists and gneisses."
Neobarremian,Geological Time Interval,"The NLD defines the term as a 'subage' and a 'part of the Barremian Age,' which is a specific temporal region within the Global Geological Time.",UNIDADE_CRONO,"The Neobarremian is a subage of the Early Cretaceous Epoch that constitutes the final part of the Barremian Age, immediately preceding the Aptian Age."
salt,Sedimentary Geological Object,"The NLD defines salt as a 'body of evaporitic rock', which is a type of rock constituted by sediment, fitting the definition of a Sedimentary Geological Object.",BACIA,"Salt is a body of evaporitic rock that is composed predominantly of halite, formed by chemical precipitation within a restricted basin. Due to its high ductility and low permeability, this lithology commonly deforms to create complex structures and acts as a highly effective regional seal for hydrocarbon accumulations."
Barra Velha Formation,Depositional System,"The NLD describes the formation as a 'reservoir system' and a 'complex succession' of carbonates, which fits the definition of an object aggregate whose members are linked depositional units.",UNIDADE_LITO,"The Barra Velha Formation is an Aptian-age lithostratigraphic unit that constitutes the main carbonate reservoir system of the Brazilian Pre-Salt province in the Santos Basin. It is characterized by a complex succession of microbial and abiotic carbonates, including spherulites and shrub-like facies, deposited within a large-scale, saline alkaline lacustrine system. These unique facies exhibit high primary porosity, forming world-class hydrocarbon reservoirs."
shrubby,Sedimentary Structure,"The NLD defines this as a physical structure characterized by its specific branching morphology, which represents a pattern of internal arrangement within a geological object.",ESTRUTURA_FISICA,"A shrubby structure is a microbial carbonate structure that is characterized by a branching, arborescent morphology resembling a small bush. It is typically composed of calcite spherulites and is a key component of the lacustrine microbialite reservoirs of the Brazilian Pre-Salt. This physical structure is interpreted as being formed by microbially-mediated precipitation in a subaqueous environment."
deltaic,Depositional System,"The NLD describes a depositional environment that forms a sedimentary succession, which is an aggregate of linked depositional units, matching the definition of a Depositional System.",PALEOAMBIENTE,"A deltaic paleoenvironment is a transitional depositional environment that forms where a river enters a standing body of water, such as a lake, sea, or ocean. This environment is characterized by the rapid deposition of river-borne sediment as the flow velocity diminishes, causing the shoreline to prograde into the basin. The resulting sedimentary succession is typically dominated by clastic deposits that form a characteristic coarsening-upward vertical profile."
